id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
51347,1852153,Hotel Stella Marina,Via Costa 9,San Vincenzo,Italy,57027,Hotels,3,43.0968571,10.5383565,2,http://www.booking.com/hotel/it/stella-marina-san-vincenzo.en-gb.html,EUR
51348,185217,Hotel Aqua,Fekete-hid ut 126,Sarvar,Hungary,9600,Hotels,3,47.25006423,16.94699183,2,http://www.booking.com/hotel/hu/aqua-sarvar.en-gb.html,EUR
51349,1852179,Hotel MareMar,"Mihai Eminescu, Nr. 41-42",Eforie Nord,Romania,905350,Hotels,3,44.07076527,28.63525268,2,http://www.booking.com/hotel/ro/maremar.en-gb.html,RON
51350,185218,Crocus Gere Bor Hotel Resort & Wine Spa,Diofas ter 4-12.,Villany,Hungary,7773,Hotels,4,45.86698987,18.45190555,2,http://www.booking.com/hotel/hu/crocus-gere-bor-wine-spa.en-gb.html,EUR
51351,185219,Hotel Oazis,Magyar str.19.,Nagykanizsa,Hungary,8800,Hotels,3,46.45910404,16.98692322,2,http://www.booking.com/hotel/hu/aparthotel-oazis.en-gb.html,EUR
51352,18522,Albares,"Paseo de la Libertad, 11",Vielha,Spain,25530,Hotels,3,42.70303206,0.79562768,2,http://www.booking.com/hotel/es/albares.en-gb.html,EUR
51353,185220,Hotel Gozsdu Court,"7th district, Kiraly u. 13.  II. Block 1st Floor 4.",Budapest,Hungary,1075,Hotels,3,47.49915525,19.05831814,2,http://www.booking.com/hotel/hu/gozsdu-court.en-gb.html,EUR
51354,1852201,Hotel San Marco,Via 11 Febbraio 32,Pesaro,Italy,61121,Hotels,2,43.90686002,12.9096631,2,http://www.booking.com/hotel/it/san-marco-pesaro.en-gb.html,EUR
51355,185221,Sarlospuszta Club Hotel,Sarlosar 1.,Tatarszentgyorgy,Hungary,2375,Hotels,3,47.04270457,19.34603333,2,http://www.booking.com/hotel/hu/sarlospuszta-club.en-gb.html,EUR
51356,185223,Budapest Panorama Central,Karoly korut 10.,Budapest,Hungary,1052,Hotels,3,47.495009,19.05917645,2,http://www.booking.com/hotel/hu/budapest-panorama-central.en-gb.html,EUR
51357,185225,"Star Inn Hotel Budapest Centrum, by Comfort",Dessewffy u. 36.,Budapest,Hungary,1066,Hotels,3,47.50643397,19.0585877,2,http://www.booking.com/hotel/hu/star-inn-budapest-centrum.en-gb.html,EUR
51358,1852255,Lurd Family Hotel,8 Preobrazhenska Street,Lozenets,Bulgaria,8277,Hotels,2,42.21171921,27.80272186,2,http://www.booking.com/hotel/bg/lurd-family.en-gb.html,BGN
51359,1852257,Bifora Heritage Hotel,Lucica 11,Trogir,Croatia,21220,Hotels,4,43.5139288,16.2506298,2,http://www.booking.com/hotel/hr/bifora-heritage-4-trogir.en-gb.html,EUR
51360,1852259,B&B Hotel FREYMING-MERLEBACH,Freyming-Merlebach RD 80,Freyming,France,57800,Hotels,2,49.14076123,6.8146421,2,http://www.booking.com/hotel/fr/b-amp-b-freyming-merlebach.en-gb.html,EUR
51361,185226,Medosz Hotel,Jokai ter 9.,Budapest,Hungary,1061,Hotels,3,47.50535953,19.06129807,2,http://www.booking.com/hotel/hu/medosz.en-gb.html,EUR
51362,1852288,Hotel Imperio do Norte,Avenida 5 de Outubro 97 Ponte de Lima Rua 5 de Outubro 97  Ponte de Lima,Ponte de Lima,Portugal,,Hotels,3,41.76586768,-8.58667858,2,http://www.booking.com/hotel/pt/imperio-do-norte.en-gb.html,EUR
51363,1852297,Hotel Le Progres Dorlotel,5 rue Marie Therese,Le Mont-Dore,France,63240,Hotels,2,45.57467361,2.81065889,2,http://www.booking.com/hotel/fr/le-progres-dorlotel.en-gb.html,EUR
51364,18523,Els Cacadors de Macanet,Urbanitzacio Casa Nova,Macanet de Cabrenys,Spain,17720,Hotels,3,42.38401934,2.75519777,2,http://www.booking.com/hotel/es/els-cacadors-de-macanet.en-gb.html,EUR
51365,185232,Walzer Hotel & Restaurant,Nemetvolgyi Str. 110.,Budapest,Hungary,1124,Hotels,3,47.48627687,19.00774777,2,http://www.booking.com/hotel/hu/walzer-restaurant.en-gb.html,EUR
51366,185235,Opera Garden Hotel & Apartments,Hajos utca 24,Budapest,Hungary,1065,Hotels,4,47.50437566,19.05689389,2,http://www.booking.com/hotel/hu/opera-garden-apartments.en-gb.html,EUR
51367,185237,Equital,hrsz. 06/2.,Nemesvita,Hungary,8311,Bed and breakfasts,3,46.82682014,17.37413228,2,http://www.booking.com/hotel/hu/equital-horse-farm.en-gb.html,EUR
51368,1852374,hotel le Soli,4 rue Mgr. Paget,Saint-Julien-en-Genevois,France,74160,Hotels,2,46.14359181,6.07959836,2,http://www.booking.com/hotel/fr/le-soli.en-gb.html,EUR
